Time,IndoorConcentration,logIndoorConcentration,IndoorOutdoorPressure
107.77889,194.72577,2.28942343,-15.39604
107.87882,188.97081,2.276394725,-16.72069
107.8988,205.53813,2.312892401,-16.72069
107.8988,199.25998,2.299420082,-16.72069
107.95876,223.50059,2.349278674,-16.72069
107.98446,213.48546,2.329368302,-16.72069
108.09866,256.80963,2.409611305,-21.38524
108.13863,265.18048,2.423541552,-21.38524
108.13863,248.87475,2.395980837,-21.38524
108.19859,273.90013,2.437592238,-23.15143
108.25855,286.45641,2.457058545,-23.15143
108.25855,281.05023,2.448783945,-23.15143
108.25855,303.54691,2.482225816,-23.15143
108.3442,295.40027,2.470410888,-23.15143
108.43842,318.19591,2.502694593,-24.3483
108.46411,310.19875,2.491640043,-20.43988
108.49838,323.4277,2.509777212,-20.43988
108.49838,337.03034,2.527668999,-20.43988
108.57032,331.38001,2.520326307,-22.57968
108.61829,340.5182,2.532140329,-22.57968
108.70394,349.66136,2.543647642,-26.35445
108.73821,360.0502,2.556363056,-26.35445
108.91808,370.07778,2.56829301,-28.01654
109.18516,380.07367,2.579867784,-25.31388
109.32579,391.23164,2.59243397,-25.31388
109.33778,413.06562,2.61601905,-25.31388
109.36443,403.88093,2.606253348,-25.31388
109.39774,394.57998,2.596135046,-26.40077
109.65755,383.07005,2.583278198,-27.62351
109.69752,374.6992,2.573682766,-24.87233
109.69752,368.42105,2.566344436,-24.87233
109.75748,361.61973,2.558252118,-24.87233
109.81744,354.46962,2.54957902,-19.91342
109.81744,348.19148,2.54181814,-19.91342
109.81744,342.08773,2.534137497,-19.91342
109.93735,327.61312,2.515361286,-13.30719
109.93735,321.33498,2.506958005,-13.30719
109.96133,314.74293,2.497955983,-13.30719
109.96733,334.67604,2.524624622,-13.30719
110.02729,288.89791,2.4607444,-11.98254
110.05727,308.42991,2.489156487,-11.98254
110.05727,302.15177,2.480225143,-11.98254
110.05727,295.87363,2.47110626,-11.98254
110.17718,272.1562,2.434818232,-10.31582
110.17718,265.87805,2.424682485,-10.31582
110.20116,280.52705,2.447974745,-10.31582
110.20116,258.86746,2.413077462,-10.31582
110.2971,251.92663,2.401274077,-10.31582
110.2971,245.64848,2.390314081,-10.31582
110.32108,238.14959,2.376849838,-10.31582
110.38703,218.00722,2.338470877,-10.31582
110.41701,225.41891,2.352990345,-10.31582
110.41701,231.69705,2.364920504,-10.31582
110.53693,212.51384,2.327387219,-8.19057
110.53693,206.2357,2.314363845,-8.19057
110.53693,199.95756,2.300937829,-8.19057
110.59688,193.54862,2.286790079,-6.22544
