Time,AirExchangeRate,AttenuationGroundwater,ConstAe,EntryRate,ExitRate,IndoorConcentration,IndoorOutdoorPressure,Pathway,logIndoorConcentration,logAttenuationGroundwater
12.282396984805294,0.46986109267259496,1.9545588130664653e-05,No,145979.57256742372,145883.72389478245,1034.9422142686758,0.3427396172021485,Yes,3.0149161017496042,-4.708951257027108
12.490054714857585,0.44726852923262495,2.020434500789032e-05,No,143624.2442618288,143549.51540503794,1069.8235029064435,0.38201263421259213,Yes,3.0293121346605645,-4.694555224116148
12.69771244490988,0.4251601207307735,2.1017102288481534e-05,No,141766.54658317356,141942.99777859633,1112.8591390824859,0.4143366186531548,Yes,3.046440196688104,-4.677427162088608
12.905370174962172,0.4109647066054944,2.166827015525008e-05,No,140566.9936849267,141454.69989861856,1147.338588326418,0.4331350162753579,Yes,3.0596916004141854,-4.664175758362528
13.006315201838794,0.4091568740417709,2.1574704200533498e-05,No,140224.24568138542,140224.31123358078,1142.3842551179628,0.4353675830304802,Yes,3.0578122088206596,-4.666055149956053
13.107260228715415,0.4143749253896444,2.1361836204080704e-05,No,140630.3697796977,140611.44190672744,1131.1128585182278,0.4187198327799424,Yes,3.0535059394846114,-4.670361419292101
13.18462380365751,0.4237930129760731,2.1040655279069065e-05,No,141630.4638739424,141645.13638233265,1114.1062739381043,0.38867222314105804,Yes,3.046926619907287,-4.676940738869425
13.250265928805092,0.4347232390496084,2.0703620331843698e-05,No,142954.0497358563,142970.93760655622,1096.2602161865802,0.3538002639127745,Yes,3.039913653637754,-4.683953705138959
13.315908053952676,0.4477639044712126,2.0347527603391552e-05,No,144684.9389655038,144726.92698510122,1077.405045679275,0.31219512694374746,Yes,3.032379005092928,-4.691488353683784
13.381550179100255,0.4623602842762885,2.0000088189494862e-05,No,146914.9519416702,146892.98164010316,1059.0080696487448,0.26562661518390673,Yes,3.0248992694470207,-4.698968089329692
13.51283442939542,0.4940012871784668,1.9498583003383904e-05,No,153049.1622362061,153009.97549111518,1032.4532847882879,0.1646786790915037,Yes,3.0138704103355596,-4.709996948441153
13.623462917369725,0.5205078870410474,1.938883238618272e-05,No,160289.88450324762,160312.57291403366,1026.6419709498803,0.08011162041680914,Yes,3.0114190150185847,-4.712448343758128
13.671294013900532,0.5312061772571203,1.9453860869576195e-05,No,164156.24397631508,164156.29280875225,1030.0852402004073,0.045979632869860836,Yes,3.012873164333273,-4.7109941944434395
13.719125110431335,0.5411358811121603,1.960859752662208e-05,No,168522.59254227875,168554.93705028517,1038.2785724962184,0.014299754919277654,Yes,3.0163138913414627,-4.7075534674352495
13.73500978533181,0.5442266189179772,1.967261778003329e-05,No,170071.10962432928,170071.11051970167,1041.668455797785,0.0044390180941974436,Yes,3.017729512889172,-4.7061378458875405
13.743419205520565,0.5458162872260424,1.971211935370399e-05,No,170910.3739221326,170910.37398602645,1043.760070838916,-0.0006326838131915924,Yes,3.01860067885206,-4.7052666799246525
13.746538833516277,0.5463974806951865,1.9727750403508574e-05,No,171228.0324460675,171228.03245418766,1044.5877375833477,-0.002486932281922982,Yes,3.018944923347476,-4.7049224354292365
13.749658461511991,0.5469739685019142,1.9743864823265776e-05,No,171548.69687273464,171548.70359250336,1045.4409988489426,-0.004326167733830433,Yes,3.019299527734868,-4.704567831041844
13.755897717503426,0.5481125889519934,1.9777331098400708e-05,No,172197.1957602774,172197.19578754052,1047.213043806604,-0.007958839706443399,Yes,3.0200350430327214,-4.703832315743991
13.762136973494858,0.5492316722240229,1.9812196918204778e-05,No,172852.84610261366,172852.96076182512,1049.0591948924189,-0.011529179969556049,Yes,3.02079999466621,-4.7030673641105025
13.768376229486293,0.5503307419657456,1.9848379827582903e-05,No,173514.9297806285,173515.16967546652,1050.9750860950855,-0.015035668761694819,Yes,3.021592420976223,-4.70227493780049
13.780854741469154,0.5524669354492454,1.9924293059937606e-05,No,174854.95254979757,174854.90741853305,1054.9947046535165,-0.0218510128871649,Yes,3.0232502797801293,-4.700617078996583
13.805811765434887,0.5564782005532752,2.0088850420607668e-05,No,177579.10025594718,177579.10161794946,1063.7080448757472,-0.03464861398164265,Yes,3.026822443843965,-4.697044914932747
13.855725813366346,0.5633495404039661,2.0438912848375835e-05,No,182904.47156470094,182904.48278034676,1082.2439099366845,-0.056571040974908275,Yes,3.03432515060593,-4.689542208170783
13.905639861297807,0.5684827161486641,2.0788595998829362e-05,No,187725.22597008434,187728.85789453352,1100.7596921993345,-0.07294800281233399,Yes,3.0416925181153536,-4.682174840661359
13.955553909229266,0.5716338354319668,2.1094388799471813e-05,No,191516.73492951485,191546.17634696164,1116.951472978128,-0.0830013816200102,Yes,3.0480343051875627,-4.67583305358915
14.005467957160725,0.5725737188663039,2.1300645007094213e-05,No,193738.5677293789,193737.09262558652,1127.87277423529,-0.08598928783887458,Yes,3.052260113331908,-4.671607245444805
14.055382005092184,0.5725737188663039,2.14184348248746e-05,No,194807.4980829761,194808.43374366392,1134.10976511103,-0.0849284584001684,Yes,3.0546550898964435,-4.669212268880269
14.105296053023649,0.5725737188663039,2.145116165473288e-05,No,195218.83493421372,195106.0961320791,1135.8426563155874,-0.08222551980866166,Yes,3.05531817448533,-4.668549184291383
14.155210100955104,0.5725737188663039,2.144490574655816e-05,No,195051.92242614442,195049.19637805285,1135.5114049142312,-0.07801388372659568,Yes,3.055191500569354,-4.668675858207358
14.205124148886568,0.5725737188663039,2.1369006640744295e-05,No,194371.54007585574,194358.8664801384,1131.4925343585394,-0.07242696181621121,Yes,3.0536516928045905,-4.670215665972123
14.255038196818028,0.5725737188663039,2.1240673199193273e-05,No,193193.02844079566,193191.6272794264,1124.6972568117276,-0.06559816573974951,Yes,3.051035635878314,-4.672831722898398
14.304952244749488,0.5725737188663039,2.1069343869719626e-05,No,191637.1517967719,191633.32488235523,1115.6253396901118,-0.05766090715945195,Yes,3.047518370028046,-4.676348988748666
14.354866292680947,0.5725737188663039,2.0860860043538364e-05,No,189741.61429178494,189737.08886084682,1104.5860856515635,-0.04874859773755908,Yes,3.0431995681626844,-4.680667790614028
