AirExchangeRate,AttenuationGroundwater,AttenuationSubslab,Peclet,Contaminated,SubslabConcentration,RelativeAirEntryRate,EntryRate,Gravel,Pathway,IndoorConcentration,IndoorOutdoorPressure,logIndoorConcentration,logAttenuationSubslab,logAttenuationGroundwater,logSubslabConcentration
1.3,3.2935608687024315e-07,1.450575783350182e-06,-0.010622507509593829,Yes,0.0015796284341293304,-2.7958779685490388e-05,1.242357508161509,No,Yes,17.43946079031414,4,1.2415330528780075,-5.838459577146694,-6.482334305898705,-2.801445057339695
1.3,3.242580749313932e-07,1.4314452954563429e-06,-0.013278134386992407,Yes,0.001575961907255906,-3.494847460686285e-05,1.223127399287208,No,Yes,17.169520191490008,5,1.2347581588126442,-5.844225244453705,-6.489109199964068,-2.8024542840980473
1.5,3.292820028494389e-07,1.425612587379856e-06,0.013278134386992413,Yes,0.0016069269883600091,3.494847460686285e-05,1.4331669892018992,No,Yes,17.435538028818268,-5,1.241435353452267,-5.845998478707397,-6.482432005324445,-2.7940038552047324
1.5,3.2407353874529586e-07,1.4052552765837631e-06,0.010622507509593829,Yes,0.0016044198193843672,2.7958779685490367e-05,1.410497670035025,No,Yes,17.159748969065,-4,1.2345109302406998,-5.852244775302479,-6.489356428536013,-2.794681981821218
1.5,3.188980549980214e-07,1.385036294142578e-06,0.007966880632195392,Yes,0.0016018446233221958,2.0969084764117717e-05,1.3879718945733863,No,Yes,16.88570622481458,-3,1.2275192292074968,-5.8585388459935235,-6.496348129569216,-2.795379612163377
1.5,3.137558995128701e-07,1.3649625521320132e-06,0.005311253754796911,Yes,0.001599192835082058,1.3979389842745184e-05,1.3655911770398226,No,Yes,16.613428217709384,-2,1.2204592593273134,-5.864879263367194,-6.503408099449399,-2.7960991646698896
1.5,3.0865070391432115e-07,1.3450605940687264e-06,0.002655626877398457,Yes,0.0015964491637859065,6.9896949213725936e-06,1.3433713237166889,No,Yes,16.343107242882972,-1,1.213334630540741,-5.871258150548619,-6.5105327282359715,-2.796844906275037
1.5,2.9897770466447027e-07,1.307992843648324e-06,-0.002655626877398456,Yes,0.0015902415879157465,-6.9896949213725936e-06,1.3012705617816394,No,Yes,15.830920288193495,1,1.199506162143905,-5.883394632137551,-6.524361196632808,-2.798536893082941
1.5,2.944184172206441e-07,1.2908544453378165e-06,-0.005311253754796914,Yes,0.001586782383769847,-1.3979389842745187e-05,1.2814267191111333,No,Yes,15.58950524296403,2,1.1928323324011452,-5.889122725317157,-6.531035026375568,-2.799482629646094
1.5,2.8990715033533173e-07,1.2739200478273066e-06,-0.007966880632195392,Yes,0.0015832388064262635,-2.0969084764117727e-05,1.2617918811194926,No,Yes,15.350632894471369,3,1.1861262858008457,-5.894857827791099,-6.537741072975867,-2.8004535737724523
1.5,2.8544194195421056e-07,1.2571656789034905e-06,-0.010622507509593824,Yes,0.0015796284341293304,-2.7958779685490367e-05,1.2423575081615092,No,Yes,15.114199351605578,4,1.1793851461291627,-5.900607483895539,-6.54448221264755,-2.801445057339695
1.5,2.810236649405408e-07,1.2405859227288308e-06,-0.013278134386992409,Yes,0.001575961907255906,-3.494847460686285e-05,1.2231273992872076,No,Yes,14.880250832624672,5,1.1726102520637998,-5.9063731512025495,-6.551257106712913,-2.8024542840980473
0.1,7.70577372285349e-06,6.65121282556043e-05,0.043625348707574174,No,0.0008060186276494213,0.00011482331380948936,2.235907303423156,Yes,No,408.02202860662516,-5,2.6106836107468507,-4.177099155385258,-5.113183748029862,-3.0936549212322886
0.1,7.580563701836557e-06,6.578492171632577e-05,0.034900278965999225,No,0.000801686943848499,9.185865104743395e-05,2.1995763637249013,Yes,No,401.39213670807504,-4,2.6035688603842964,-4.181873637781276,-5.120298498392416,-3.0959951891988244
0.1,7.455974066273477e-06,6.506059883613658e-05,0.02617520922456102,No,0.0007972894251093251,6.88939882857373e-05,2.1634254350699016,Yes,No,394.7950943247718,-3,2.5963717475413723,-4.186681943666634,-5.12749561123534,-3.098383996156391
0.1,7.331962833707546e-06,6.433911225644739e-05,0.01745013948299042,No,0.0007928204831607384,4.592932552369254e-05,2.127442335828586,Yes,No,388.2286784784962,-2,2.5890876135998107,-4.19152493573722,-5.1347797451769015,-3.1008251380273655
0.1,7.2084493456126725e-06,6.362040623486415e-05,0.008725069741504478,No,0.0007882701561435697,2.296466276187076e-05,2.0916036621229748,Yes,No,381.68861828657964,-1,2.5817092097551475,-4.196403562122767,-5.142158149021565,-3.1033249154864815
0.1,6.963678660748538e-06,6.221155177086536e-05,-0.008725069741500514,No,0.0007787487445062767,-2.296466276186032e-05,2.0205810002028053,Yes,No,368.72796891200727,1,2.5667060811468216,-4.206128965718592,-5.157161277629891,-3.1086026404989835
0.1,6.842680143414358e-06,6.15222258166978e-05,-0.017450139482987168,No,0.0007737913519104824,-4.592932552368399e-05,1.9854720704131124,Yes,No,362.3210768494146,2,2.559093598437386,-4.2109679605534565,-5.164773760339327,-3.1113761283735544
0.1,6.722586584765546e-06,6.083682247272245e-05,-0.026175209224503518,No,0.0007687755334172278,-6.88939882855859e-05,1.9506257234355675,Yes,No,355.96210250305495,3,2.5514037632821274,-4.215833477370528,-5.172463595494585,-3.1142004467117417
0.1,6.6035832221311225e-06,6.0155596735239966e-05,-0.03490027896600837,No,0.0007637184589540037,-9.185865104745758e-05,1.916095707733564,Yes,No,349.6608542209906,4,2.54364701421537,-4.220723960707216,-5.180220344561342,-3.1170667124418108
0.1,6.485794857339924e-06,5.947874804624209e-05,-0.0436253487075494,No,0.0007586318306242081,-0.0001148233138094242,1.8819182358057498,Yes,No,343.42394028127467,5,2.535830566799415,-4.2256381814132125,-5.188036791977297,-3.1199689391517693
0.3,2.5685912409511988e-06,2.217070941853537e-05,0.04362534870761179,No,0.0008060186276494102,0.0001148233138095884,2.235907303423196,Yes,No,136.00734286887692,-5,2.1335623560271944,-4.654220410104909,-5.590305002749519,-3.0936549212322944
0.3,2.5268545672788385e-06,2.1928307238774438e-05,0.034900278965985826,No,0.0008016869438485246,9.185865104739816e-05,2.1995763637248884,Yes,No,133.79737890269092,-4,2.1264476056646315,-4.658994892500955,-5.5974197531120815,-3.0959951891988107
0.3,2.4853246887578e-06,2.1686866278711754e-05,0.026175209224522017,No,0.0007972894251093331,6.889398828563446e-05,2.1634254350698834,Yes,No,131.5983647749226,-3,2.1192504928217057,-4.663803198386305,-5.604616865955007,-3.0983839961563864
0.3,2.4439876112358714e-06,2.144637075215e-05,0.01745013948301061,No,0.0007928204831607139,4.592932552374583e-05,2.127442335828605,Yes,No,129.4095594928333,-2,2.1119663588801525,-4.668646190456865,-5.61190099989656,-3.100825138027379
0.3,2.402816448537537e-06,2.120680207828715e-05,0.00872506974149297,No,0.0007882701561435965,2.296466276184036e-05,2.091603662122957,Yes,No,127.2295394288588,-1,2.1045879550354814,-4.673524816842448,-5.619279403741231,-3.103324915486467
0.3,2.3212262202495043e-06,2.073718392362151e-05,-0.008725069741507533,No,0.0007787487445062843,-2.296466276187876e-05,2.020581000202799,Yes,No,122.90932297066864,1,2.0895848264271573,-4.68325022043826,-5.634282532349555,-3.108602640498979
0.3,2.280893381138129e-06,2.0507408605566542e-05,-0.01745013948298481,No,0.0007737913519104629,-4.592932552367778e-05,1.9854720704131223,Yes,No,120.77369228313871,2,2.0819723437177253,-4.688089215273106,-5.641895015058987,-3.1113761283735655
0.3,2.240862194921845e-06,2.0278940824240686e-05,-0.026175209224507168,No,0.0007687755334172316,-6.88939882855954e-05,1.950625723435563,Yes,No,118.6540341676848,3,2.0742825085624643,-4.692954732090193,-5.649584850214248,-3.1142004467117395
0.3,2.2011944073770283e-06,2.005186557841283e-05,-0.034900278966014324,No,0.0007637184589540177,-9.185865104747354e-05,1.9160957077335523,Yes,No,116.55361807366285,4,2.0665257594957054,-4.697845215426889,-5.657341599281007,-3.117066712441803
0.3,2.1619316191132848e-06,1.9826249348746508e-05,-0.04362534870757138,No,0.0007586318306242328,-0.00011482331380948276,1.8819182358057305,Yes,No,114.47464676042368,5,2.058709312079748,-4.702759436132894,-5.665158046696964,-3.119968939151755
0.5,1.5411547445706678e-06,1.3302425651119195e-05,0.04362534870755505,No,0.0008060186276495063,0.00011482331380943896,2.235907303423116,Yes,No,81.60440572132342,-5,1.9117136064108233,-4.876069159721331,-5.812153752365889,-3.093654921232243
